,Country,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average",Happiness Score 2019,Happiness Score 2020
24,Singapore,5850343.0,5703569.0,0.4956999719142914,42.400001525878906,1,1.2602404356002808,8.425979614257812,1,0.8685892224311829,45.2,20905.0,21282.0,21446.0,22000.0,13.65771198272705,6.262,6.377099991
25,Japan,126476458.0,126264931.0,2.6029000282287598,48.20000076293945,1,0.8627890348434448,8.390191078186035,1,0.3174663186073303,33.9,1340567.0,1362470.0,1387775.0,1376426.0,10.146339416503906,5.886,5.870800018
26,China,1439323774.0,1397715000.0,0.33219999074935913,38.70000076293945,0,1.0972458124160767,8.213040351867676,1,0.5163989663124084,46.7,,,,,,5.191,5.123899937
27,India,1380004385.0,1366417754.0,10.77810001373291,28.200000762939453,0,0.9366806745529175,8.532171249389648,0,0.5260490775108337,39.334374999999994,,,,,,4.015,3.573299885
28,Venezuela,28435943.0,28515829.0,3.615100145339966,29.0,0,0.890544056892395,9.564495086669922,0,0.12015887349843979,37.800000000000004,,,,,,4.707,5.053199768
29,Brazil,212559409.0,211049527.0,91.71510314941406,33.5,0,0.6567919254302979,9.66565990447998,0,0.11477480083703995,54.0,1312663.0,1316719.0,1349802.0,1571383.0,115.667236328125,6.3,6.375599861
30,Mexico,128932753.0,127575529.0,97.57569885253906,29.299999237060547,0,0.8478463292121887,9.43381118774414,0,0.1288771778345108,47.5,701160.0,718206.0,728889.0,1045794.0,257.0747375488281,6.595,6.465000153
31,Nigeria,206139587.0,200963599.0,0.6252999901771545,18.100000381469727,0,1.02329421043396,9.27917766571045,0,0.19993939995765686,44.894000000000005,,,,,,5.265,4.724100113
32,Kenya,53771300.0,52573973.0,3.1057000160217285,20.0,0,0.7814594507217407,9.118931770324707,0,0.33104565739631653,40.78,,,,,,4.509,4.583000183
33,Tanzania,59734213.0,58005463.0,0.03519999980926514,17.700000762939453,0,0.7318025827407837,9.153142929077148,0,0.620562732219696,37.78,,,,,,3.231,3.476200104
34,Israel,8655541.0,9053300.0,38.41469955444336,30.600000381469727,0,2.2502782344818115,8.969634056091309,0,0.26199737191200256,34.4,44425.0,44397.0,45794.0,49469.0,51.917572021484375,7.139,7.128600121
35,Ghana,31072945.0,30417856.0,1.0780999660491943,21.100000381469727,0,0.9520256519317627,9.341736793518066,0,0.30511751770973206,43.52,,,,,,4.996,5.147999763
36,Uganda,45741000.0,44269594.0,0.5486999750137329,16.399999618530273,0,0.8155328035354614,9.14323902130127,0,0.2393098622560501,42.75,,,,,,4.189,4.43200016
37,Benin,12123198.0,11801151.0,0.3628999888896942,18.799999237060547,0,0.970544159412384,9.319047927856445,0,0.39812594652175903,47.76,,,,,,4.883,5.21600008
38,Malawi,19129955.0,18628747.0,0.9880000352859497,18.100000381469727,0,0.6672336459159851,9.206979751586914,0,0.3226570188999176,44.69,,,,,,3.41,3.538000107
39,South Africa,59308690.0,58558270.0,48.001399993896484,27.299999237060547,0,0.6065149307250977,9.297284126281738,0,0.19273777306079865,65.42600000000002,,,,566004.0,,4.722,4.814099789
40,Canada,37742157.0,37589262.0,41.41790008544922,41.400001525878906,0,2.296168088912964,9.26781177520752,0,0.48161616921424866,35.25,,,,,,7.278,7.23210001
41,Australia,25499881.0,25364307.0,3.56469988822937,37.900001525878906,1,0.40509703755378723,9.101801872253418,1,0.3350496292114258,33.0,,,,,,7.228,7.222799778
42,Philippines,109581085.0,108116615.0,8.435800552368164,25.200000762939453,1,0.7396153807640076,8.226012229919434,1,0.5199505090713501,42.230000000000004,,,,,,5.631,6.006000042
43,Sri Lanka,21413250.0,21670000.0,0.9527000188827515,34.099998474121094,1,0.7049904465675354,8.635091781616211,0,0.3675445318222046,41.93666666666667,,,,,,4.366,4.327000141
44,Vietnam,97338583.0,96462106.0,0.036000002175569534,32.599998474121094,0,0.8066069483757019,8.108026504516602,1,0.49013349413871765,40.099999999999994,,,,,,5.175,5.353499889
45,Thailand,69799978.0,69625582.0,0.09030000120401382,40.099998474121094,0,0.7512210607528687,8.270149230957031,0,0.35382911562919617,35.315,468911.0,473541.0,506211.0,501438.0,26.60967445373535,6.008,5.998799801
46,Cambodia,16718971.0,16486542.0,0.0,25.600000381469727,0,0.714238166809082,8.255621910095215,1,0.4981042146682739,36.0,,,,,,4.7,4.848400116
47,Myanmar,54409794.0,54045420.0,4.929299831390381,29.100000381469727,0,0.7592831254005432,8.298598289489746,0,0.6214678287506104,38.07,,,,,,4.36,4.308000088
48,New Zealand,4822233.0,4917000.0,0.5184000134468079,37.900001525878906,1,0.37902915477752686,9.266324996948242,1,0.5265658497810364,34.1,33495.0,33053.0,34088.0,33177.0,-7.563881874084473,7.307,7.299600124
49,Ethiopia,114963583.0,112078730.0,1.6726999282836914,19.799999237060547,0,0.915070116519928,9.047481536865234,0,0.39686521887779236,33.4975,,,,,,4.286,4.186200142
50,Mali,20250834.0,19658031.0,1.3282999992370605,16.399999618530273,0,1.0703725814819336,9.351827621459961,0,0.2743140757083893,33.04,,,,,,4.39,4.729300022
51,Senegal,16743930.0,16296364.0,2.4486000537872314,18.700000762939453,0,1.0616328716278076,9.390358924865723,0,0.35542404651641846,40.29,,,,,,4.681,4.980800152
52,Zambia,18383956.0,17861030.0,2.110499858856201,17.700000762939453,0,0.6666667461395264,9.251139640808105,0,0.3215149939060211,57.14,,,,,,4.107,3.759399891
53,South Korea,51269183.0,51709098.0,1.788599967956543,43.400001525878906,0,1.6065058708190918,8.228276252746582,1,0.11182743310928345,35.5,284548.0,298030.0,294080.0,308318.0,31.2661190032959,5.895,5.872399807
54,Afghanistan,38928341.0,38041754.0,5.628300189971924,18.600000381469727,0,1.106934905052185,8.623236656188965,0,0.04644780978560448,31.0,,,,,,3.203,2.566900015
55,Georgia,3989175.0,3720382.0,62.794898986816406,38.70000076293945,0,1.7055425643920898,8.850701332092285,0,0.198270782828331,37.94,,,,,,4.519,4.672599792
56,Kazakhstan,18776707.0,18513930.0,14.704401016235352,30.600000381469727,0,1.137136697769165,8.62141227722168,0,0.3521690368652344,27.45,74381.0,130515.0,133489.0,162613.0,267.1877136230469,5.809,6.057899952
57,Kyrgyzstan,6524191.0,6456900.0,20.76889991760254,26.299999237060547,0,1.0801770687103271,8.565892219543457,0,0.18645817041397095,27.34,33166.0,32989.0,33295.0,39977.0,105.18376159667969,5.261,5.541500092
58,Moldova,4033963.0,2657637.0,73.99669647216797,37.599998474121094,0,2.348018169403076,8.952219009399414,0,0.10394710302352905,25.900000000000002,36768.0,37176.0,36794.0,40382.0,103.69215393066406,5.529,5.607500076
59,Russia,145934460.0,144373535.0,38.55910110473633,39.599998474121094,0,1.770572543144226,8.86870288848877,0,0.19593723118305206,34.559999999999995,1824340.0,1827827.0,1800683.0,2124479.0,211.4047088623047,5.648,5.546000004
60,Ukraine,43733759.0,44385155.0,44.08720016479492,41.400001525878906,0,2.206019639968872,8.928791046142578,0,0.05906858295202255,25.0,574123.0,587665.0,581114.0,616835.0,81.40746307373047,4.332,4.56069994
61,Burkina Faso,20903278.0,20321378.0,0.4065999984741211,17.600000381469727,0,1.0921440124511719,9.31783390045166,0,0.35867393016815186,35.300000000000004,,,,,,4.587,4.768700123
62,Cameroon,26545864.0,25876380.0,1.6875998973846436,18.799999237060547,0,0.9193479418754578,9.275794982910156,0,0.28146877884864807,46.64,,,,,,5.044,5.084899902
63,Sierra Leone,7976985.0,7813215.0,0.9527000188827515,19.100000381469727,0,0.9624727368354797,9.401023864746094,0,0.33849188685417175,34.03,,,,,,4.374,3.926399946
64,Zimbabwe,14862927.0,14645468.0,2.4423000812530518,19.600000381469727,0,0.645424485206604,9.244179725646973,0,0.28651246428489685,40.362500000000004,,,,,,3.663,3.299200058
65,Costa Rica,5094114.0,5047561.0,42.892601013183594,33.599998474121094,0,0.8639742136001587,9.549308776855469,0,0.21250563859939575,48.6,,,,,,7.167,7.121399879
66,Albania,2877800.0,2854191.0,41.038299560546875,38.0,0,3.058283567428589,9.035890579223633,0,0.15013878047466278,28.96,,,,,,4.719,4.882699966
67,Algeria,43851043.0,43053054.0,6.284899711608887,29.100000381469727,0,2.9326887130737305,9.159029006958008,0,0.4148748815059662,27.62,,,,,,5.211,5.005099773
68,Argentina,45195777.0,44938712.0,95.68370056152344,31.899999618530273,0,0.5493663549423218,9.717082023620605,0,0.09105899930000305,39.6,,,,,,6.086,5.974699974
69,Armenia,2963234.0,2957731.0,95.26750183105469,35.70000076293945,0,1.7618467807769775,8.857871055603027,0,0.1740662157535553,33.62,27367.0,25645.0,26252.0,35371.0,302.3042907714844,4.559,4.676799774
70,Austria,9006400.0,8877067.0,69.08419799804688,44.400001525878906,0,4.3146820068359375,9.023252487182617,0,0.35760387778282166,26.8,81311.0,82063.0,81557.0,91553.0,110.82119750976562,7.246,7.294199944
71,Bahrain,1701583.0,1641172.0,20.686599731445312,32.400001525878906,1,1.6665959358215332,8.852240562438965,0,0.4869312047958374,59.6,,,,,,6.199,6.227300167
72,Bolivia,11673029.0,11513100.0,78.51429748535156,25.399999618530273,0,0.608559787273407,9.72626781463623,0,0.10116125643253326,43.800000000000004,,,,,,5.779,5.747499943
73,Bosnia and Herzegovina,3280815.0,3301000.0,123.44490051269531,42.5,0,3.508873701095581,9.032291412353516,0,0.0642600804567337,33.03,,,,,,5.386,5.674099922
74,Bulgaria,6948445.0,6975761.0,109.03160095214844,44.70000076293945,0,2.6916964054107666,9.007079124450684,0,0.07329422235488892,39.6,109330.0,108247.0,107849.0,126525.0,259.25592041015625,5.011,5.101500034
75,Chile,19116209.0,18952038.0,86.87919616699219,35.400001525878906,0,0.5624874234199524,9.722240447998047,0,0.09669435769319534,45.92,106045.0,106458.0,109079.0,127387.0,106.08841705322266,6.444,6.228499889
76,Colombia,50882884.0,50339443.0,84.92639923095703,32.20000076293945,0,0.8139034509658813,9.60649299621582,0,0.11316090077161789,52.0,226799.0,236228.0,243648.0,301480.0,130.25125122070312,6.125,6.163400173
77,Croatia,4105268.0,4067500.0,95.48709869384766,44.0,0,4.0574541091918945,9.037494659423828,0,0.13128027319908142,29.7,53269.0,52562.0,51611.0,57922.0,133.15762329101562,5.432,5.504700184
78,Cyprus,875899.0,1198575.0,13.586000442504883,37.29999923706055,1,1.9077906608581543,8.967679023742676,0,0.17415712773799896,29.1,6009.0,5798.0,6218.0,6636.0,60.5133171081543,6.046,6.15899992
79,Dominican Republic,10847904.0,10738958.0,22.253101348876953,27.600000381469727,1,1.1295652389526367,9.50285530090332,0,0.19857847690582275,44.4,,,,,,5.425,5.689199924
80,Ecuador,17643060.0,17373662.0,79.54399871826172,28.100000381469727,0,0.7891846895217896,9.633696556091309,0,0.20528748631477356,45.4,70049.0,71769.0,73479.0,115842.0,251.7445068359375,6.028,5.925199986
81,El Salvador,6486201.0,6453553.0,20.458799362182617,27.600000381469727,0,0.8633497953414917,9.508163452148438,0,0.23881658911705017,40.5,,,,,,6.253,6.34829998
82,Estonia,1326539.0,1326590.0,17.26300048828125,42.70000076293945,0,2.365309238433838,8.930441856384277,0,0.27027663588523865,30.6,15476.0,15684.0,15332.0,16206.0,53.42122268676758,5.893,6.021800041
83,Finland,5540718.0,5520314.0,10.125,42.79999923706055,0,2.225083351135254,8.926762580871582,0,0.5498598217964172,25.900000000000002,53546.0,54394.0,53821.0,55663.0,31.510042190551758,7.769,7.808700085
84,Gabon,2225728.0,2172579.0,2.875499963760376,23.100000381469727,0,0.864660382270813,9.304910659790039,0,0.10389053076505661,38.02,,,,,,4.799,4.829299927
85,Guinea,13132792.0,12771246.0,0.6168000102043152,19.0,0,0.970016360282898,9.40855884552002,0,0.3492297828197479,33.730000000000004,,,,,,4.534,4.949299812
86,Honduras,9904608.0,9588000.0,31.60150146484375,24.899999618530273,0,0.8872699737548828,9.510899543762207,0,0.20871895551681519,48.1,,,,,,5.86,5.953199863
87,Iceland,341250.0,361313.0,8.498200416564941,37.29999923706055,1,1.6493347883224487,9.069891929626465,0,0.325368732213974,24.1,2229.0,2247.0,2261.0,2321.0,21.445266723632812,7.494,7.504499912
88,Iraq,40222503.0,39309783.0,31.855300903320312,20.0,0,1.652010202407837,8.882006645202637,0,0.13266557455062866,33.120000000000005,,,,,,4.437,4.784800053
89,Ireland,4937796.0,4941444.0,45.3036003112793,38.70000076293945,1,3.1881022453308105,9.100494384765625,0,0.4306252896785736,30.6,,30621.0,30728.0,32271.0,32.3203010559082,7.021,7.093699932
90,Ivory Coast,26378275.0,25716544.0,0.5194000005722046,18.700000762939453,0,0.9639504551887512,9.36520767211914,0,0.28531602025032043,48.594,,,,,,4.944,5.233300209
91,Jamaica,2961161.0,2948279.0,10.198699951171875,31.399999618530273,1,1.044930100440979,9.50208854675293,0,0.13324689865112305,37.480000000000004,,,,,,5.89,5.889800072
92,Latvia,1886202.0,1912789.0,33.66550064086914,43.900001525878906,0,2.490190029144287,8.942621231079102,0,0.09616052359342575,35.6,28659.0,28743.0,27632.0,28989.0,33.921321868896484,5.94,5.949999809
93,Lithuania,2722291.0,2786844.0,53.55780029296875,43.5,0,2.538996934890747,8.944458961486816,0,0.18915341794490814,36.9,39990.0,39452.0,38184.0,43824.0,167.55197143554688,6.149,6.215499878
94,Malaysia,32365998.0,31949777.0,1.455199956893921,29.899999618530273,0,0.7138990759849548,8.415206909179688,1,0.44292891025543213,41.04,168100.0,172100.0,173700.0,174300.0,9.328970909118652,5.339,5.384300232
95,Malta,441539.0,502653.0,49.59920120239258,42.400001525878906,1,2.8223886489868164,9.096670150756836,0,0.4028075933456421,28.7,3556.0,3672.0,3684.0,4093.0,96.51993560791016,6.726,6.772799969
96,Mauritius,1271767.0,1265711.0,0.786300003528595,37.400001525878906,1,0.6244209408760071,9.083909034729004,0,0.4108026623725891,38.47,10140.0,10787.0,11174.0,11060.0,28.3483829498291,5.888,6.101299763
97,Mongolia,3278292.0,3225167.0,0.030500000342726707,28.600000381469727,0,1.1396116018295288,8.326016426086426,1,0.10214006900787354,32.35,15812.0,17331.0,17205.0,15922.0,-26.467947006225586,5.285,5.456200123
98,Montenegro,628062.0,622137.0,108.58799743652344,39.099998474121094,0,3.1344106197357178,9.014948844909668,0,0.21564476191997528,31.93,,,,,,5.523,5.54610014
99,Nepal,29136808.0,28608710.0,6.369900226593018,25.0,0,0.8772907257080078,8.417630195617676,0,0.39221665263175964,32.84,,,,,,4.913,5.137199879
100,Nicaragua,6624554.0,6545502.0,2.4907000064849854,27.299999237060547,0,0.8604223132133484,9.527918815612793,0,0.2803025543689728,46.515,,,,,,6.105,6.13710022
101,Norway,5421242.0,5347896.0,8.042400360107422,39.70000076293945,0,2.67567777633667,8.99300765991211,0,0.6056562066078186,24.8,40634.0,40716.0,40500.0,41155.0,9.9976806640625,7.554,7.487999916
102,Panama,4314768.0,4246439.0,93.2146987915039,29.700000762939453,0,0.9102838635444641,9.567748069763184,0,0.18166400492191315,49.800000000000004,19482.0,19720.0,20332.0,23876.0,94.17676544189453,6.321,6.304800034
103,Paraguay,7132530.0,7044636.0,31.71390151977539,26.5,0,0.5909669399261475,9.725844383239746,0,0.1381448656320572,47.4,29021.0,31258.0,32362.0,34139.0,45.97062683105469,5.743,5.692100048
104,Peru,32971846.0,32510453.0,114.279296875,29.100000381469727,0,0.6362667679786682,9.689529418945312,0,0.09592050313949585,43.9,98704.0,112516.0,114560.0,214503.0,323.4757080078125,5.697,5.796800137
105,Portugal,10196707.0,10269417.0,67.72769927978516,46.20000076293945,0,3.2235987186431885,9.207305908203125,0,0.2483617514371872,32.1,109283.0,112692.0,111474.0,125500.0,140.23501586914062,5.693,5.910900116
106,Serbia,6804596.0,6944975.0,47.188697814941406,41.20000076293945,0,3.1344106197357178,9.014948844909668,0,0.220901221036911,37.800000000000004,103722.0,101655.0,102131.0,114954.0,181.11599731445312,5.603,5.77820015
107,Slovakia,5459643.0,5454073.0,39.16010284423828,41.20000076293945,0,4.655187606811523,9.018951416015625,0,0.1953515112400055,23.2,53702.0,54137.0,53115.0,60277.0,121.41910552978516,6.198,6.280600071
108,Slovenia,2078932.0,2087946.0,129.7301025390625,44.5,0,4.307637691497803,9.044583320617676,0,0.17666758596897125,23.400000000000002,20436.0,20428.0,20547.0,24277.0,182.71070861816406,6.118,6.363399982
109,Switzerland,8654618.0,8574832.0,88.33430480957031,43.099998474121094,0,5.583521842956543,9.078126907348633,0,0.6600010395050049,30.1,66703.0,66888.0,67515.0,77087.0,116.6800308227539,7.48,7.559899807
110,Tajikistan,9537642.0,9321018.0,0.9435999989509583,23.299999237060547,0,1.1353672742843628,8.623944282531738,0,0.5537751317024231,34.0,32027.0,32699.0,33537.0,41743.0,95.32666778564453,5.467,5.555699825
111,Togo,8278737.0,8082366.0,0.821399986743927,19.399999618530273,0,0.9663538932800293,9.329300880432129,0,0.21230554580688477,43.06,,,,,,4.085,4.187200069
112,Tunisia,11818618.0,11694719.0,39.564701080322266,32.70000076293945,0,3.017868757247925,9.118125915527344,0,0.12942259013652802,32.82,,,,,,4.461,4.392199993
113,United Arab Emirates,9890400.0,9770529.0,6.764100074768066,34.0,0,1.1989803314208984,8.821386337280273,0,0.694008469581604,38.300000000000004,,,,,,6.825,6.790800095
114,Uruguay,3473727.0,3461734.0,5.2104997634887695,35.599998474121094,0,0.5724685788154602,9.711483001708984,0,0.24744057655334473,39.25,,,,,,6.293,6.440100193
115,Uzbekistan,33469199.0,33580650.0,1.8344999551773071,28.200000762939453,0,1.1407219171524048,8.620494842529297,0,0.43486061692237854,39.7,160723.0,154913.0,154570.0,175637.0,56.38095474243164,6.174,6.257599831
116,Kosovo,1932774.0,1794248.0,68.91649627685547,35.0,0,3.1344106197357178,9.014948844909668,0,0.16944776475429535,29.01,8738.0,8866.0,9552.0,11108.0,110.32937622070312,6.1,6.325200081
